City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Shibetsu,JP,59.7,light intensity drizzle,43.659,145.132,Hotel Kawabata Shibetsu
231,Zhangye,CN,74.34,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
232,Ahipara,NZ,62.55,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
233,Rocha,UY,53.55,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
236,Rivadavia,AR,52.2,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
237,Makhinjauri,GE,71.46,clear sky,41.6739,41.694,Golden Anchor
238,Yelovo,RU,59.22,clear sky,57.0538,54.9207,
239,Pokhara,NP,73.65,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
240,Hamilton,US,78.58,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
242,San Vicente,AR,62.02,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
244,Te Anau,NZ,48.88,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
245,Ecoporanga,BR,64.54,clear sky,-18.3733,-40.8306,Hotel Bar e Restaurante do Dico
246,Matagami,CA,54.45,clear sky,49.7502,-77.6328,Motel Le Caribou
248,Bobo Dioulasso,BF,71.74,overcast clouds,11.1771,-4.2979,IBA Hotel
249,Torrington,US,75.79,clear sky,41.8007,-73.1212,The Yankee Pedlar Inn
250,Khatanga,RU,47.46,overcast clouds,71.9667,102.5,"""Khatanga"""
251,Touros,BR,75.11,clear sky,-5.1989,-35.4608,INN NEW HORIZON
252,Barranca,PE,60.66,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
253,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
255,Peniche,PT,68.29,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
256,Visby,SE,63.82,overcast clouds,57.6409,18.296,Best Western Solhem Hotel Visby
257,Mount Gambier,AU,58.91,broken clouds,-37.8333,140.7667,The Commodore
260,Karratha,AU,70.5,clear sky,-20.7377,116.8463,ibis Styles Karratha
261,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
263,Vanavara,RU,57.38,overcast clouds,60.34,102.2797,
265,Tahoua,NE,78.87,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
266,Axim,GH,72.14,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
267,Santarem,BR,77.13,few clouds,-2.4431,-54.7083,Hotel Imperador
268,Seabra,BR,59.02,clear sky,-12.4186,-41.7703,Cambuí Hotel
269,Verkhoyansk,RU,52.48,overcast clouds,67.5447,133.385,
272,Ust-Tsilma,RU,61.79,overcast clouds,65.441,52.1498,U Praskov'i
273,Acajutla,SV,76.77,moderate rain,13.5928,-89.8275,Laureles
274,Chilca,PE,60.31,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
275,Vardo,NO,51.78,overcast clouds,70.3705,31.1107,Vardø Hotel AS
277,Le Port,RE,65.61,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
279,Whitecourt,CA,63.41,broken clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
280,Airai,TL,73.17,overcast clouds,-8.9266,125.4092,
281,Muravlenko,RU,62.35,clear sky,63.7898,74.523,Hostel Rus Muravlenko
283,Porto Santo,PT,68.38,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
285,Valparaiso,CL,53.47,clear sky,-33.0393,-71.6273,Hotel Ultramar
288,Hervey Bay,AU,71.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
289,Chuy,UY,55.22,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
290,Marfino,RU,62.85,clear sky,55.7028,37.3822,Nemchinovka-Park
291,Kodiak,US,67.51,clear sky,57.79,-152.4072,Best Western Kodiak Inn
292,Larsnes,NO,61.0,light rain,62.2028,5.5773,Liset Feriesenter AS
295,Kamyshla,RU,60.35,clear sky,54.1169,52.1426,Дом 100 м.кв. на трассе М5
297,Cabinda,AO,69.53,broken clouds,-5.55,12.2,Hotel Maiombe
298,Pemba,MZ,68.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
300,Lluta,PE,48.18,scattered clouds,-16.0147,-72.0142,
301,Torbat-E Jam,IR,75.25,clear sky,35.244,60.6225,White building
302,Mandera,KE,75.67,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
303,La Ronge,CA,56.37,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
304,Coihaique,CL,37.35,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
305,Constitucion,CL,47.59,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
307,Coffs Harbour,AU,73.13,broken clouds,-30.3,153.1333,Aquajet Motel
308,Rumonge,BI,70.65,few clouds,-3.9736,29.4386,Kwetu Guest House
309,Isla Vista,US,79.16,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
310,Guasdualito,VE,71.62,broken clouds,7.2424,-70.7324,Hotel Cuibas
311,Sitka,US,57.09,light rain,57.0531,-135.33,Westmark Sitka
312,College,US,67.98,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
313,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
314,Santa Elena,EC,68.61,broken clouds,-2.2333,-80.85,HOTEL CISNE II
315,Longyearbyen,SJ,48.04,light rain,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
317,Dolores,AR,50.67,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
319,Ankazoabo,MG,58.6,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
320,Upernavik,GL,44.51,overcast clouds,72.7868,-56.1549,Café de Upernavik
321,De-Kastri,RU,60.57,overcast clouds,51.4667,140.7833,Somon Hotel
322,Pevek,RU,38.16,light rain,69.7008,170.3133,Severnoye Zoloto
323,Nikolayevka,RU,60.98,clear sky,53.1257,47.2041,"Hotel ""Prestige"""
324,Necochea,AR,51.1,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
326,Bambous Virieux,MU,66.22,few clouds,-20.3428,57.7575,Casa Tia Villa
327,Saint-Francois,FR,60.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
328,Sao Felix Do Xingu,BR,74.1,clear sky,-6.6447,-51.995,Rio Xingu Camping
329,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
330,Quatre Cocos,MU,66.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
331,Hirschaid,DE,65.41,scattered clouds,49.8194,10.9908,CENTER HOTEL DRIVE INN
332,Narsaq,GL,46.62,few clouds,60.9167,-46.05,Sleep In Narsaq
334,Lasa,IT,60.37,few clouds,46.6166,10.7002,Pension Feldgärtenhof
337,Bayreuth,DE,65.39,few clouds,49.9481,11.5783,Hotel Bayerischer Hof
338,Sinnamary,GF,78.17,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
339,Bandarbeyla,SO,77.04,clear sky,9.4942,50.8122,JABIR HOTEL
341,Oktyabrskiy,RU,59.45,clear sky,54.4815,53.471,Гостиница Октябрьская
344,Nanortalik,GL,45.14,few clouds,60.1432,-45.2371,Hotel Kap Farvel
345,Yar-Sale,RU,61.68,overcast clouds,66.8333,70.8333,Yalemd
346,Wattegama,LK,75.99,overcast clouds,6.7989,81.4808,
347,Flagstaff,US,78.6,scattered clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
348,Vao,NC,72.28,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
349,Lodwar,KE,75.31,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
350,Saldanha,ZA,55.08,clear sky,-33.0117,17.9442,Blue Bay Lodge
351,Ocampo,MX,64.06,overcast clouds,21.65,-101.5,Hotel Estancia del Vaquero
353,Pangnirtung,CA,46.78,broken clouds,66.1451,-65.7125,Kilabuk Lodge
355,Mayumba,GA,70.38,overcast clouds,-3.432,10.6554,LIKWALE LODGE
356,Ozinki,RU,65.75,clear sky,51.1786,49.6769,Korolevskiy Dvor
357,Waw,SS,68.41,overcast clouds,7.7029,27.9953,Universal Gab Hotel
358,Ketchikan,US,60.78,light rain,55.3422,-131.6461,Snow's Cove Lodge
359,Calabozo,VE,73.78,broken clouds,8.9242,-67.4293,Hotel Giardini
360,Menongue,AO,53.65,broken clouds,-14.6585,17.691,Ritz Lauca
361,Pacific Grove,US,75.24,broken clouds,36.6177,-121.9166,Lovers Point Inn
363,Tocopilla,CL,59.02,few clouds,-22.092,-70.1979,Hotel Galvarino
365,Cheremukhovo,RU,57.72,clear sky,60.3484,59.9851,
367,Marsaxlokk,MT,77.61,clear sky,35.8419,14.5431,Water's Edge
368,Antofagasta,CL,58.28,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
369,San Quintin,MX,72.12,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
370,Ilebo,CD,72.97,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
371,Varena,LT,55.67,broken clouds,54.2167,24.5667,"EKORATAS, UAB viešbutis Varėna"
373,Mogadishu,SO,75.78,broken clouds,2.0371,45.3438,Hotel Juba
376,Ayan,RU,56.55,overcast clouds,56.45,138.1667,Gostinitsa
378,Mitrofanovka,RU,64.9,overcast clouds,49.9708,39.6939,
379,Faya,SA,59.52,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
380,Nefteyugansk,RU,61.97,few clouds,61.0998,72.6035,Royal Plaza
381,Margate,GB,64.9,few clouds,51.3813,1.3862,Premier Inn Margate hotel
382,Bonnyville,CA,55.31,overcast clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
385,Orocue,CO,72.18,light rain,4.7912,-71.3354,Hotel Brisas de San Miguel
386,Saint-Joseph,RE,64.2,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
387,Launceston,AU,55.62,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
388,Yumen,CN,75.54,clear sky,40.2833,97.2,
389,Prince Rupert,CA,55.49,overcast clouds,54.3161,-130.3201,Crest Hotel
390,Pangody,RU,61.83,few clouds,65.85,74.4859,Elizaveta Shevchuk's House
392,Vostok,RU,77.81,few clouds,46.4856,135.8833,
